partei,topic_clean,like_count,view_count,share_count,comment_count
AfD,Internationale Politik,8341.27,100772.86,524.82,667.15
AfD,Migration,9252.96,107113.9,722.69,620.09
AfD,Persönliches,31984.33,382277.58,5524.5,1129.5
AfD,Sicherheit & Ordnung,7390.58,94281.36,782.99,520.92
AfD,Soziales & Arbeit,3080.39,42456.69,596.53,271.12
AfD,Umwelt & Energie,2098.33,28004.62,190.49,192.97
AfD,Wahlkampf,7329.51,85943.99,738.21,513.0
AfD,Wirtschaft & Finanzen,3906.1,43060.44,418.36,245.49
CDU_CSU,Internationale Politik,5062.15,143928.12,373.79,780.01
CDU_CSU,Migration,4068.45,141148.71,902.93,666.95
CDU_CSU,Persönliches,7808.66,205688.09,688.94,907.8
CDU_CSU,Sicherheit & Ordnung,2439.4,100184.48,260.92,615.38
CDU_CSU,Soziales & Arbeit,1837.38,82274.79,223.46,334.85
CDU_CSU,Umwelt & Energie,119.35,2492.61,9.0,28.78
CDU_CSU,Wahlkampf,1835.79,58391.14,186.48,339.17
CDU_CSU,Wirtschaft & Finanzen,972.11,35947.56,65.58,209.95
Grüne,Internationale Politik,5213.77,62959.11,346.3,340.95
Grüne,Migration,6538.32,114904.35,503.68,258.84
Grüne,Persönliches,3488.09,68707.93,269.27,207.11
Grüne,Sicherheit & Ordnung,5521.78,83639.87,611.52,303.97
Grüne,Soziales & Arbeit,2455.21,35507.53,238.17,132.24
Grüne,Umwelt & Energie,1538.59,21251.29,84.85,137.04
Grüne,Wahlkampf,2586.26,40987.84,212.38,175.03
Grüne,Wirtschaft & Finanzen,3357.93,51158.35,220.26,250.18
Linke,Internationale Politik,39559.86,297743.69,1772.66,764.86
Linke,Migration,28920.7,247093.3,1680.25,759.75
Linke,Persönliches,44244.0,338105.0,897.0,797.47
Linke,Sicherheit & Ordnung,67325.2,541734.68,3784.32,1504.96
Linke,Soziales & Arbeit,16631.05,133223.14,660.89,402.13
Linke,Umwelt & Energie,38981.0,273424.33,1521.5,819.83
Linke,Wahlkampf,34144.55,238183.22,1597.55,646.47
Linke,Wirtschaft & Finanzen,39479.1,313787.73,2056.08,911.83
SPD,Internationale Politik,4571.85,67160.63,370.68,349.9
SPD,Migration,3486.59,51123.48,243.4,213.08
SPD,Persönliches,9813.35,144604.83,2249.93,305.12
SPD,Sicherheit & Ordnung,2323.67,26383.43,132.44,237.47
SPD,Soziales & Arbeit,4041.25,51068.46,548.36,135.97
SPD,Umwelt & Energie,237.43,6972.77,7.83,67.13
SPD,Wahlkampf,3423.4,44316.87,332.89,165.51
SPD,Wirtschaft & Finanzen,8381.08,126965.09,1826.03,338.44
