id,username,partei,video_description,voice_to_text,gpt_topic,topic_clean
7468261632179752214,awet_tesfaiesus,Grüne,"Der Black History Month wird seit 1990 auch in #Deutschland gefeiert, nachdem er in den USA bereits 1926 ins Leben gerufen wurde.  Er wurde von Schwarzen Aktivist*innen etabliert, um die Geschichte, Kultur und Errungenschaften Schwarzer Menschen in Deutschland sichtbar zu machen. Denn Schwarze Geschichte ist nicht nur Vergangenheit, sondern auch Gegenwart und Zukunft.  #blackhistorymonth @Djenabou Diallo Hartmann  #blackjoy ","Deutschland ist vielfältig. dazu gehört auch unsere Black Community und das feiern wir im Black History Month. der Black History Month bedeutet für mich, schwarze Geschichte in Deutschland sichtbar zu machen. ich finds auch wichtig, über den Kolonialzeit und über Rassismus in der jetztzeit zu sprechen und das in Kontext zu setzen. von daher ist der Black History Month sowohl eine Zeit zu erinnern als auch eine Zeit der Reflektion. Aus meiner Sicht ist es ebenfalls sehr wichtig, dass wir schwarzes Leben feiern und äh, die ganzen Vorbilder, die wir haben, die ganzen positiven Geschichten im Vordergrund stellen und das dann auch nach außen tragen und erzählen. denn Vorbilder brauchen wir auch in der schwarzen Community in und für Deutschland, ja.
",Hashtags: #blackhistorymonth @Djen,[]
7462030840617553174,benner_lukas,Grüne,Robert Habeck 02.02. 18Uhr in Aachen!! @Grüne Region Aachen💚 #roberthabeck ,"also leute, wenn ihr robert sehen wollt, dann müsst ihr nicht euren fernseher hinstellen, sondern am zweiten zweiten um siebzehn uhr in die timeout halle kommen, weil da kommt der kollege, ich freu mich auf euch und räumt euren müll weg.
",Datum: 02.02. 18U,[]
7462699801159765270,benner_lukas,Grüne,Roooobert 💚 #roberthabeck #politics #Grüne #reclaimtiktok #aachen #bundestagswahl2025 #Kanzlerera #foryou #fyp #grüne @Grüne Region Aachen💚 ,"wisst ihr, wer am zweiten zweiten nach aachen kommt? robert?",Hashtags: #roberthabeck #,[]
7466073093916724502,boris.mijatovic.mdb,Grüne,10000 blockieren Autobahn!  #serbien #studenten #proteste ,"hey, habt ihr gesehen, 10.000 haben Autobahnkreuz dicht gemacht. nicht hier in Deutschland, sondern in Serbien. was ist da los? die Leute gehen auf die Straße, weil sie gegen die Regierung protestieren. Alexander Gucci hat mit Korruption, mit Hass und Hetze sein Land tief gespalten. letztes Jahr im November sind 15 Leute ums Leben gekommen, als 1 bahnungsvordacht in novissat eingestürzt ist. Korruption, Mängel in der Bauaufsicht, all das führt dazu, dass die Leute ihrem System nicht mehr vertrauen, Gucci Chat auch die Wahlen manipuliert und dementsprechend ist seine Demokratie keine Demokratie mehr, sondern eine Autokratie. diese Studierenden fordern jetzt 1, dass Demokratie wieder funktioniert und das fordern wir auch. Serbien kommt zurück nach Europa!
",Hashtags: #serbien #studenten #,[]
7457618869361020182,cem.oezdemir,Grüne,"Für #2025 wünsche ich mir, dass wir Demokraten uns wieder mehr auf das Gemeinsame, statt das Trennende fokussieren. 🤝🏼 #inandout ",,"Hashtags: #2025, #Demokr",[]
7462340224178244886,gruene_berlin,Grüne,Der Ereignisse der Amtseinführung von Donald Trump sind der wiederholte Beweis dafür wie wichtig es ist für unsere Demokratie zusammenzukommen. Wir stehen zusammen! Am 25.01. um 16:30 Uhr am Brandenburger Tor @Campact e.V. ,,"Datum: 25.01.2023
",[]
7462404037535599894,hannes4future,Grüne,Sollte die AfD verboten werden?  . . . . . . . . #NoAfD #AfDverbot #afdistkeinealternative #demokratie #ElonMusk #Trump #Populismus #Bundestagswahl2025 #diegrünen #teamhabeck #habeck ,"verbieten wir jetzt die AfD? ihr habt bestimmt alle diesen Post gesehen, in dem es darum geht, dass die AfD ekelhafte rückfür Tickets an Migrantinnen verteilt hat. das ist genau das gleiche, dass damals NSDAP Jüdinnen und Juden in die pilzkästen geschmissen haben. jetzt wird's n bisschen technisch, aber stay with Me am Ende. wisst ihr, wann wir die AfD verbieten? für 1 Partei verbotsverfahren müssen wir Politikerinnen einen Antrag beim Bundesverfassungsgericht stellen. der wird dann dort geprüft. die AfD kann noch mal Stellungen beziehen. dann wird 1 Verfahren eröffnet. kann man sich wie 1 Polizeiverfahren vorstellen. es werden noch mal Zeugen vernommen, Beweise gesammelt und dann geht's los. am Ende dieses gerichtsprozesses fehlt 1 Urteil und wenn 2/3 der richterinnen dafür sind, dass die AfD eine verfassungsfeindliche Partei sind, wird die Partei aufgelöst. okay, okay, okay, ist hier alles schön und gut, aber wo stehen wir jetzt gerade? leider noch ganz am Anfang. ich weiß nicht das was ihr euch wahrscheinlich erhofft habt. wir haben gerade erst einen Antrag geschrieben, aber der ist noch nicht beim Bundesverfassungsgericht eingereicht, weil eben noch nicht genügend Politikerinnen und Politiker Aus dem Bundestag unterschrieben haben. vor allem viele Politikerinnen der CDU haben noch nicht unterschrieben. also wenn ihr eine Überprüfung wollt, schreibt jetzt euren Abgeordneten im Wahlkreis der CDU, CSU und sagt ihnen, dass ihr eine Überprüfung wichtig findet. denn 1 Antrag, die ganze Prüfung von beweisen und teugenvernehmungen dauert 3 bis 5 Jahre. heißt, je früher wir anfangen, desto früher haben. wir 1 Ergebnis und wir wollen alle nich, dass sich die Jahre 1929 und 1933 wiederholen. oder kommentiert OB ihr für oder gegen 1. AfD Verbot seid. ich bin gespannt tschau.
",Hashtags: #NoAfD #AfD,[]
7467538395414269206,kathrin.henneberger,Grüne,"📢Auf die Straße gegen den Faschismus! Die Demonstrationen geben Hoffnung und unsere Demokratie braucht uns weiterhin.  ✨Protest auf der Straße ist Wind in den Segeln für eine Politik, die Menschenrechte schützt und nach echten politischen Lösungen sucht & für mehr soziale Gerechtigkeit sorgt. 👉🏼Wir sehen uns am Freitag um 16:30 Uhr auf dem Sonnenhausplatz in Mönchengladbach bei der Demo! ",,"Datum: 2023-04-14
",[]
7470466857695202582,langricarda,Grüne,"Nasse Haare, trotzdem da. Denn das Thema ist wichtig. Diese Woche haben CDU und FDP eine Reform des Paragraphen 218 blockiert. Aber wir bleiben dran. Schwangerschaftsabbrüche raus aus dem Strafgesetzbuch! ",Are you up for a joyride later? Where do you wanna take me? Guess,Hashtags: #Abtreibung #Re,[]
7457997494681750806,matthias.gastel,Grüne,"Wir haben einen Plan für die Bahn! Mit der grünen Bahnstrategie haben wir ein Konzept für eine bessere Bahn in der Zukunft. Mehr infos dazu auf meiner Webseite, link in der Bio. #politik #deutschebahn #eisenbahn #Verkehrswende #Verkehrspolitik #Bahn #politiktiktok #btw25 #bundestag ",,"Datum: 2023-04-20

",[]
