id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7457299627545625366,2025-01-07 22:11:28,Not so Fun Fact Viele Kita Betreuerinnen können nicht Vollzeit arbeiten weil sie keine Kinderbetreuung haben,430,3,7457257601143672086,7457257601143672086,negative
7457275576647910146,2025-01-07 20:38:04,Und wieder ein Sachverhalt der für manchen Politiker der Union zu kompliziert ist ,301,2,7457257601143672086,7457257601143672086,negative
7457268816093070102,2025-01-07 20:11:56,Und vor allem bitte auch qualitativ bessere Betreuung Die KitaGruppen sind zu groß die Räume zu klein teilweise kein Fachpersonal Und auch bessere Betreuung für Schulkinder,68,0,7457257601143672086,7457257601143672086,negative
7457274900656816918,2025-01-07 20:35:34,genau Voraussetzungen schaffen damit Frauen entscheiden können wie viel sie arbeiten wollen dann schafft das Wirtschaftswachstum ,60,0,7457257601143672086,7457257601143672086,neutral
7457259122582717206,2025-01-07 19:34:19,Da hat sie so recht ,59,1,7457257601143672086,7457257601143672086,neutral
7457547987927008002,2025-01-08 14:15:15,Um das Mal in zahlen auszudrücken wir verlieren dadurch Jährlich 280 Milliarden Euro das wäre aktuell ein Wachstum um 7,37,1,7457257601143672086,7457257601143672086,neutral
7457317144113627926,2025-01-07 23:19:51,Die raffens nichtdas Jugendamt meinte zu mir wir müssen nur 65h Krippe vorhalten ok also sagt mir das JA jetzt ich MUSS reduzieren Danke ,18,6,7457257601143672086,7457257601143672086,negative
7457268293856035606,2025-01-07 20:09:54,Nicht nur mehr KitaPlätze auch mehr und bessere Betreuung für Schulkinder Frauen nach der Elternzeit werden dann zudem nach der Elternzeit nicht selten auch quasi degradiert und unter ihren,12,1,7457257601143672086,7457257601143672086,neutral
7457537873697522464,2025-01-08 13:36:03,stimmtBetreuung der Kinder ist gar nicht überall sichergestelltich hätte gar nicht 40 Std arbeiten könnenda Kinder nur 5 Std betreut waren pro Tag,8,0,7457257601143672086,7457257601143672086,negative
7457467208203535126,2025-01-08 09:02:15,Wir steuern in der sogenannten Mittelschicht auf eine Abgabenlast von 50 zuwer will da noch Vollzeit arbeiten Erstmal muss dafür gesorgt werdendas nicht jeder in unser Sozialsystem einwandern kann,8,7,7457257601143672086,7457257601143672086,neutral
7457258681853494038,2025-01-07 19:32:37,,8,0,7457257601143672086,7457257601143672086,negative
7457591094601171734,2025-01-08 17:02:34,Selbst mit KitaPlatz ist das Problem nicht gelöst Wie soll ich 830h oder sogar noch länger für VZ auf der Arbeit sein wenn ich 9h Betreuung habe und noch Fahrtzeit einkalkulieren muss,7,2,7457257601143672086,7457257601143672086,negative
7457583005800858390,2025-01-08 16:31:02,Absolut richtig ,7,0,7457257601143672086,7457257601143672086,positive
7457268536454234902,2025-01-07 20:10:47,Es wäre auch toll wenn Oma und Opa sich die Enkel krank schreiben lassen dürften Erstens würde das den Arbeitgebern den Wind aus den Segeln nehmen dass ja immer die Muttis ausfallen zweitens,7,1,7457257601143672086,7457257601143672086,positive
