id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7456805910032204566,2025-01-06 14:15:34,wir müssen auch siegen,21,0,7456802096281668886,7456802096281668886,neutral
7456815299821044502,2025-01-06 14:52:02, alice weidel unsere kanzlerin ,10,0,7456802096281668886,7456802096281668886,neutral
7456804780615336726,2025-01-06 14:11:10,auch ein sieg für uns ,8,0,7456802096281668886,7456802096281668886,neutral
7456846389839282966,2025-01-06 16:52:39,bei uns wird das nicht funktionieren siehe thüringen und brandenburg da kleben sich alle parteien zu einer zusammen aber wir wählen ,7,2,7456802096281668886,7456802096281668886,neutral
7456809122945778454,2025-01-06 14:28:11,dr alice weidel ,7,0,7456802096281668886,7456802096281668886,negative
7456806235435762454,2025-01-06 14:16:59,ich hoffe es ,7,0,7456802096281668886,7456802096281668886,negative
7456803221697692438,2025-01-06 14:05:11,,6,0,7456802096281668886,7456802096281668886,negative
7456879775739708182,2025-01-06 19:02:08,alice für deutschland   ,5,0,7456802096281668886,7456802096281668886,positive
7456833257772139286,2025-01-06 16:01:49,viel erfolg ,5,0,7456802096281668886,7456802096281668886,positive
7456850695011287830,2025-01-06 17:09:19,karma ,3,0,7456802096281668886,7456802096281668886,negative
7456813632312279830,2025-01-06 14:45:32,,3,0,7456802096281668886,7456802096281668886,negative
7457054200141382422,2025-01-07 06:19:17,meine stimme für vernunft und frieden,2,0,7456802096281668886,7456802096281668886,neutral
7456815117725254422,2025-01-06 14:51:22,tu felix austria ,2,0,7456802096281668886,7456802096281668886,negative
7456813140827898646,2025-01-06 14:43:39,,2,0,7456802096281668886,7456802096281668886,negative
7456809545634218774,2025-01-06 14:29:42,,2,0,7456802096281668886,7456802096281668886,negative
7456806860269224706,2025-01-06 14:19:15,,2,0,7456802096281668886,7456802096281668886,negative
7456804631321150210,2025-01-06 14:10:45,an der afd führt kein weg mehr dran vorbei ,2,0,7456802096281668886,7456802096281668886,neutral
7457297150326850326,2025-01-07 22:01:50,,1,0,7456802096281668886,7456802096281668886,negative
7457255706347864854,2025-01-07 19:21:02,nur die ,1,0,7456802096281668886,7456802096281668886,negative
7457070623555175190,2025-01-07 07:23:02,mega die können echt stolz auf sich sein und ich hoffe wir sind nah dran was anderes geht nicht mehr,1,0,7456802096281668886,7456802096281668886,positive
7456909989170397974,2025-01-06 20:59:29, afd ,1,0,7456802096281668886,7456802096281668886,negative
7456838938901742368,2025-01-06 16:23:48,,1,0,7456802096281668886,7456802096281668886,negative
7456807902009066262,2025-01-06 14:23:26,,1,0,7456802096281668886,7456802096281668886,negative
7456804739892921110,2025-01-06 14:11:03,vom ganzem herzen wünsche ich der afd viel erfolg ,1,0,7456802096281668886,7456802096281668886,neutral
7469866572351800086,2025-02-10 18:58:07,mein löwe mein bär ,0,0,7456802096281668886,7456802096281668886,negative
7467265710050689814,2025-02-03 18:45:11,,0,0,7456802096281668886,7456802096281668886,negative
7466020245774353184,2025-01-31 10:12:14,wie die österreichische rechte untergräbt auch die afd den demokratischen prozess damit fehlt ihr die kompetenz um sinvvoll politik zu machen,0,0,7456802096281668886,7456802096281668886,negative
7465151515180040962,2025-01-29 02:04:46,darum   nur das original   am 23022025afd    schützen  ,0,0,7456802096281668886,7456802096281668886,neutral
7463533258362815254,2025-01-24 17:21:30,,0,0,7456802096281668886,7456802096281668886,negative
7463153047234954006,2025-01-23 16:46:20,,0,0,7456802096281668886,7456802096281668886,negative
7463153040092660503,2025-01-23 16:46:12,,0,0,7456802096281668886,7456802096281668886,negative
7462025710618755862,2025-01-20 15:51:29,,0,0,7456802096281668886,7456802096281668886,negative
7460496814903509782,2025-01-16 12:58:48,,0,0,7456802096281668886,7456802096281668886,negative
7457455738774307606,2025-01-08 08:17:49,,0,0,7456802096281668886,7456802096281668886,negative
7457397909858337558,2025-01-08 04:34:47,ich wünsche uns auch viel erfolg,0,0,7456802096281668886,7456802096281668886,positive
7457214578276139798,2025-01-07 16:41:25,,0,0,7456802096281668886,7456802096281668886,negative
7457062160260203297,2025-01-07 06:50:24,,0,0,7456802096281668886,7456802096281668886,negative
7457053947263173398,2025-01-07 06:18:24,,0,0,7456802096281668886,7456802096281668886,negative
7457045906133123862,2025-01-07 05:47:42,,0,0,7456802096281668886,7456802096281668886,negative
7456982956994478870,2025-01-07 01:43:37,,0,0,7456802096281668886,7456802096281668886,negative
7456970765788922646,2025-01-07 00:56:11,,0,0,7456802096281668886,7456802096281668886,negative
7456946933942453014,2025-01-06 23:23:12,,0,0,7456802096281668886,7456802096281668886,negative
7456921658075923222,2025-01-06 21:44:45,nur noch ,0,0,7456802096281668886,7456802096281668886,negative
7456916531689276182,2025-01-06 21:24:55,,0,0,7456802096281668886,7456802096281668886,negative
7456912269541409558,2025-01-06 21:08:15,frau weidel ,0,0,7456802096281668886,7456802096281668886,positive
7456881523774784278,2025-01-06 19:08:56,,0,0,7456802096281668886,7456802096281668886,negative
7456877848444699414,2025-01-06 18:54:41,,0,0,7456802096281668886,7456802096281668886,negative
7456874706173592342,2025-01-06 18:42:36,,0,0,7456802096281668886,7456802096281668886,negative
7456872156938634006,2025-01-06 18:32:43,,0,0,7456802096281668886,7456802096281668886,negative
7456867761739236118,2025-01-06 18:15:34,,0,0,7456802096281668886,7456802096281668886,negative
7456866914745713430,2025-01-06 18:12:16,,0,0,7456802096281668886,7456802096281668886,negative
7456862496549585686,2025-01-06 17:55:06,,0,0,7456802096281668886,7456802096281668886,negative
7456856697932989206,2025-01-06 17:32:40,,0,0,7456802096281668886,7456802096281668886,negative
7456852213316403990,2025-01-06 17:15:18,die afd muss die 51 erreichen dann ist schluss mit bsw u alt parteien gesindelwir brauchen wieder demokratie meinungsfreiheit sicherheit und ordnung,0,0,7456802096281668886,7456802096281668886,negative
7456837770561061655,2025-01-06 16:19:10,,0,0,7456802096281668886,7456802096281668886,negative
7456832399433138966,2025-01-06 15:58:29,,0,0,7456802096281668886,7456802096281668886,negative
7456832409183666966,2025-01-06 15:58:25,,0,0,7456802096281668886,7456802096281668886,negative
7456829091246031648,2025-01-06 15:45:27,,0,0,7456802096281668886,7456802096281668886,negative
7456825555423167254,2025-01-06 15:31:54,wir hoffen es das alice endlich kommt alles unsere kanzelerin den muß ganz deutschland die afd wählen,0,0,7456802096281668886,7456802096281668886,neutral
7455324483190031126,2025-01-02 14:27:00,viel erfolg ,7,0,7455310088643874070,7455310088643874070,positive
7455319526665159447,2025-01-02 14:07:48,,3,0,7455310088643874070,7455310088643874070,negative
7455319133963977494,2025-01-02 14:06:22,,3,0,7455310088643874070,7455310088643874070,negative
7455312911730639648,2025-01-02 13:42:11,dir  und somit auch uns  wünsche ich viel erfolg ,3,0,7455310088643874070,7455310088643874070,neutral
7456214006807167766,2025-01-04 23:58:52,das wünsche ich dir auch ein gesundes neues jahr ,2,0,7455310088643874070,7455310088643874070,neutral
7455364786672714518,2025-01-02 17:03:24,viel erfolg ,2,0,7455310088643874070,7455310088643874070,positive
7455320151605805846,2025-01-02 14:10:05,,2,0,7455310088643874070,7455310088643874070,negative
7455320029846995714,2025-01-02 14:09:41,,2,0,7455310088643874070,7455310088643874070,negative
7455314443866948374,2025-01-02 13:47:59,,2,0,7455310088643874070,7455310088643874070,negative
7455312106872898326,2025-01-02 13:39:01,dankeschön das wünsche ich ihnen und ihrer familie auch ,2,0,7455310088643874070,7455310088643874070,positive
7455311796129006358,2025-01-02 13:37:44,,2,0,7455310088643874070,7455310088643874070,negative
7459569116305130263,2025-01-14 01:00:13,das wünsche ich ihnen auch und ganz viel erfolg für 2025,1,0,7455310088643874070,7455310088643874070,neutral
7455718410023518998,2025-01-03 15:55:34,dankeschön wünsche ich auch,1,0,7455310088643874070,7455310088643874070,positive
7455595023272330006,2025-01-03 07:57:14,"danke  ich wünsche dir auch ein gesundes neues jahr
",1,0,7455310088643874070,7455310088643874070,neutral
7455513430721577750,2025-01-03 02:41:19,,1,0,7455310088643874070,7455310088643874070,negative
7455469785151603458,2025-01-02 23:50:55,,1,0,7455310088643874070,7455310088643874070,negative
7455417352721646358,2025-01-02 20:27:11,,1,0,7455310088643874070,7455310088643874070,negative
7455386597833065238,2025-01-02 18:27:58,,1,0,7455310088643874070,7455310088643874070,negative
7455377666922840855,2025-01-02 17:53:16,,1,0,7455310088643874070,7455310088643874070,negative
7455367140650287894,2025-01-02 17:12:31,,1,0,7455310088643874070,7455310088643874070,negative
7455345589249819414,2025-01-02 15:48:48,,1,0,7455310088643874070,7455310088643874070,negative
7455335785831842582,2025-01-02 15:10:43,hoffentlich holt die afd 25 realistisch oder mehr,1,0,7455310088643874070,7455310088643874070,neutral
7475670119194067734,2025-02-26 10:19:13,,0,0,7455310088643874070,7455310088643874070,negative
7472978978405712662,2025-02-19 04:19:54,"
teamalice 2025
",0,0,7455310088643874070,7455310088643874070,positive
7472979196848505622,2025-02-19 04:19:37,"a   f  d
 

    
         
              ",0,0,7455310088643874070,7455310088643874070,negative
7463050401237140229,2025-01-23 10:07:59,,0,0,7455310088643874070,7455310088643874070,negative
7458351763134284567,2025-01-10 18:14:46,,0,0,7455310088643874070,7455310088643874070,negative
7457095474623185686,2025-01-07 08:59:46,,0,0,7455310088643874070,7455310088643874070,negative
7457088924366177046,2025-01-07 08:34:25,,0,0,7455310088643874070,7455310088643874070,negative
7456395500070372118,2025-01-05 11:42:58,,0,0,7455310088643874070,7455310088643874070,negative
7456389632856212246,2025-01-05 11:20:15,,0,0,7455310088643874070,7455310088643874070,negative
7455981567011078944,2025-01-04 08:56:48,,0,0,7455310088643874070,7455310088643874070,negative
7455639944108884758,2025-01-03 10:51:13,erst wenn ihr murksel verscheucht habt ist es wieder eine schöne uckermark,0,0,7455310088643874070,7455310088643874070,negative
7460691993912591126,2025-01-17 01:40:01, registriertbis sonntag ,1,0,7460471899269631254,7460471899269631254,negative
7460685843172164374,2025-01-17 01:16:51,wir sind  dabei,1,0,7460471899269631254,7460471899269631254,neutral
7460685192815559446,2025-01-17 01:13:37,,1,0,7460471899269631254,7460471899269631254,negative
7461733025774174998,2025-01-19 20:55:56,hahahahaaalglatt und rechtsgerichtetohne plan nur hass und hetze,0,0,7460471899269631254,7460471899269631254,negative
7460121723327218454,2025-01-15 12:43:52,bitte haltet durch wir brauchen euch bald ist es geschafft ,27,0,7460107720843201814,7460107720843201814,neutral
7460246713959039766,2025-01-15 20:48:12,nur noch ,14,0,7460107720843201814,7460107720843201814,negative
7460161459487556374,2025-01-15 15:17:41,ihr schafft das,14,0,7460107720843201814,7460107720843201814,negative
7460249451484332822,2025-01-15 20:58:41,lieber hannes du bist eine große hoffnung für die deutsche jugend  ,11,0,7460107720843201814,7460107720843201814,neutral
7460251146994647830,2025-01-15 21:05:33,danke für eure gute arbeit ,9,0,7460107720843201814,7460107720843201814,positive
7460157488936272662,2025-01-15 15:02:03,danke das ihr da seid wir haben keine zeit mehr,9,0,7460107720843201814,7460107720843201814,negative
7460152675738075926,2025-01-15 14:43:30,wir sind am sonntag dabei ,9,0,7460107720843201814,7460107720843201814,neutral
7460141343839896342,2025-01-15 13:59:27,ohne worte einfach krass viel kraft euch  damit es endlich blau wird,8,0,7460107720843201814,7460107720843201814,positive
7460110144194839329,2025-01-15 11:57:56,"traurig aber wahr 
viel erfolg bei der wahl  grüße aus thüringen ",7,0,7460107720843201814,7460107720843201814,negative
7460131739208352514,2025-01-15 13:22:27,ohne worte mein lieber hanneszum glück gehts euch gut,6,0,7460107720843201814,7460107720843201814,negative
7460114452046742294,2025-01-15 12:15:01,riesa hat gezeigt wie am ende dieses land ist und das das ruder in blauer hand gehört,5,0,7460107720843201814,7460107720843201814,neutral
7460108872529003286,2025-01-15 11:53:59,alles ein trauerspiel  glück ab ,5,0,7460107720843201814,7460107720843201814,negative
7460183414029976322,2025-01-15 16:42:28,,4,0,7460107720843201814,7460107720843201814,negative
7460139641088541463,2025-01-15 13:53:08,,4,0,7460107720843201814,7460107720843201814,negative
7460112387079160598,2025-01-15 12:07:44,,4,0,7460107720843201814,7460107720843201814,negative
7460375741222896406,2025-01-16 05:11:06,unfassbar ,3,0,7460107720843201814,7460107720843201814,negative
7460251453547135766,2025-01-15 21:06:26,liebe grüße,3,0,7460107720843201814,7460107720843201814,positive
7460184317359817474,2025-01-15 16:46:26,es war zu erwarten das es zu protesten kommt es ist aber traurig das man personenschütz braucht über das bka,3,0,7460107720843201814,7460107720843201814,neutral
7460163672577524502,2025-01-15 15:25:50,,3,0,7460107720843201814,7460107720843201814,negative
7460151225110561538,2025-01-15 14:38:07,,3,0,7460107720843201814,7460107720843201814,negative
7460139978753278742,2025-01-15 13:54:15,,3,0,7460107720843201814,7460107720843201814,negative
7460115706320257814,2025-01-15 12:20:05,,3,0,7460107720843201814,7460107720843201814,negative
7460113920633766678,2025-01-15 12:13:06,die wurden von spd und gewerkschaften geschickt und dann nennen die sich demokraten,3,0,7460107720843201814,7460107720843201814,neutral
7460112093426565910,2025-01-15 12:06:10,genau deswegen werde ich in zukunft die afd wählen ,3,0,7460107720843201814,7460107720843201814,neutral
7460111366214501142,2025-01-15 12:03:31,,3,0,7460107720843201814,7460107720843201814,negative
7460368682679042838,2025-01-16 04:45:05,danke euch allen ,2,0,7460107720843201814,7460107720843201814,positive
7460240671196349186,2025-01-15 20:24:41,,2,0,7460107720843201814,7460107720843201814,negative
7460230008404853526,2025-01-15 19:43:28,,2,0,7460107720843201814,7460107720843201814,negative
7460217264692904726,2025-01-15 18:53:41,,2,0,7460107720843201814,7460107720843201814,negative
7460209380928914198,2025-01-15 18:23:22,,2,0,7460107720843201814,7460107720843201814,negative
7460191039527371542,2025-01-15 17:12:24,,2,0,7460107720843201814,7460107720843201814,negative
7460186790948045590,2025-01-15 16:55:33,wir sind da und danken,2,0,7460107720843201814,7460107720843201814,positive
7460123765466235670,2025-01-15 12:51:29,ganz deutschland konnte sehen wer die antidemokraten sind und deren auftraggeber viel erfolg aus dem land brandenburg ,2,0,7460107720843201814,7460107720843201814,neutral
7466872699961262870,2025-02-02 17:20:04,bleibt stark ,1,0,7460107720843201814,7460107720843201814,positive
7464413931681170198,2025-01-27 02:25:21,"
alice für deutschland 
 ",1,0,7460107720843201814,7460107720843201814,positive
7462055719425491734,2025-01-20 17:47:54,"unglaublich 
ich wünsche euch weiterhin viel kraft und natürlich erfolg ",1,0,7460107720843201814,7460107720843201814,positive
7461568254491230998,2025-01-19 10:16:25,,1,0,7460107720843201814,7460107720843201814,negative
7460814225658135318,2025-01-17 09:31:08,teamafd teamalice ,1,0,7460107720843201814,7460107720843201814,negative
7460366513720623894,2025-01-16 04:37:23,und das alles im besten deutschland  deswegen nur noch afd,1,0,7460107720843201814,7460107720843201814,negative
7460263834797654806,2025-01-15 21:55:00,,1,0,7460107720843201814,7460107720843201814,negative
7460254547002753794,2025-01-15 21:18:39,ich finde es beschämend und traurig  was aus deutschland geworden istnur hass und gewalt von diesen korrupten und feigen menschen bleibt stark  wir stehen hinter euch ,1,0,7460107720843201814,7460107720843201814,negative
7460253250290942752,2025-01-15 21:13:02,,1,0,7460107720843201814,7460107720843201814,negative
7460239332336616214,2025-01-15 20:19:34,nur noch afd ,1,0,7460107720843201814,7460107720843201814,negative
7460226229012464406,2025-01-15 19:28:53,nur afd,1,0,7460107720843201814,7460107720843201814,negative
7460188048564830998,2025-01-15 17:00:48,das ist nur noch unerträglich dass muss aufhören punkt ,1,0,7460107720843201814,7460107720843201814,negative
7460167794739610390,2025-01-15 15:41:54,bitte lasst euch nicht unterkriegen afd und nur afd ,1,0,7460107720843201814,7460107720843201814,negative
7476365809615799062,2025-02-28 07:18:06,,0,0,7460107720843201814,7460107720843201814,negative
7475936040575320854,2025-02-27 03:31:32,,0,0,7460107720843201814,7460107720843201814,negative
7473585651271992086,2025-02-20 19:29:41,,0,0,7460107720843201814,7460107720843201814,negative
7461006653707780886,2025-01-17 21:57:26,,0,0,7460107720843201814,7460107720843201814,negative
