id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emojis,emoji_sentiment
7460775892823999254,2025-01-17 07:02:50,das haben wir die letzten drei Jahre erlebt,5,0,7460199054190906646,7460199054190906646,negative,[],-1.0
7460249683282543382,2025-01-15 20:59:39,"Nicht Olaf erzählen, er vergisst alles!",5,0,7460199054190906646,7460199054190906646,neutral,[],-1.0
7461288260162257686,2025-01-18 16:09:53,"Olaf Scholz ist ein top Politiker - nur leider spricht er zu wenig mit den Menschen und erklärt ihnen seine Ideen, Maßnahmen und Überzeugungen. Das sollte er jetzt im Wahlkampf ändern.",2,0,7460199054190906646,7460199054190906646,positive,[],-1.0
7460243249886855958,2025-01-15 20:34:31,😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈,2,0,7460199054190906646,7460199054190906646,negative,"['😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈', '😈']",1.0
7460213863625425686,2025-01-15 18:40:58,Meint ihr es glaubt euch noch einener.,2,0,7460199054190906646,7460199054190906646,negative,[],1.0
7460200420875502358,2025-01-15 17:48:18,Defenitiv Merz,2,1,7460199054190906646,7460199054190906646,positive,[],1.0
7461364527692170006,2025-01-18 21:05:51,❤️❤️❤️SPD,1,0,7460199054190906646,7460199054190906646,negative,"['❤️', '❤️', '❤️']",1.0
7460526648036197142,2025-01-16 14:54:35,SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD SPD,1,0,7460199054190906646,7460199054190906646,positive,[],1.0
7460477392655565590,2025-01-16 11:44:00,Wie geil ist das denn?!! 🙈🤪🤣😂🤪🤣😂🤣🤪🙈,1,0,7460199054190906646,7460199054190906646,positive,"['🙈', '🤪', '🤣', '😂', '🤪', '🤣', '😂', '🤣', '🤪', '🙈']",1.0
7460260659240354582,2025-01-15 21:42:52,Wo ist die daheim 🤣🤣,1,0,7460199054190906646,7460199054190906646,negative,"['🤣', '🤣']",1.0
