hashtags,count
spd,44
spdsh,43
mehrfuerdich,26
mittestattmerz,18
fyp,12
politik,9
demokratie,6
besserfuerdeutschland,6
deutschland,5
btw25,4
bundestagswahl2025,3
bundestagswahl,3
mv,2
olaf,2
mecklenburgvorpommern,2
besserfürdeutschland,2
brandmauer,2
olafscholz,2
niewiedercdu,1
klimaschutz,1
politiktok,1
dietassekaffee,1
schaumalherein,1
madeingermany,1
muckelig,1
verantwortung,1
rente,1
merz,1
donaldtrump,1
saskiaesken,1
nahverkehr,1
mindestlohn,1
migration,1
mädchen,1
sozialstaat,1
rostock,1
wohlstand,1
klima,1
unserjungeinberlin,1
schwerin,1
jamel,1
mecklenburg,1
wahlkampf,1
vorpommern,1
bundestagswahlkampf,1
freiheit,1
sicherheit,1
asyl,1
menschenrechte,1
keinmillimeternachrechts,1
solidarität,1
mehrfürdich,1
gemeinsamvoran,1
briefwahl,1
sozialepolitikfuerdich,1
tvduell,1
wismar,1
nordwestmecklenburg,1
frauen,1
gewalthilfegesetz,1
btw,1
somuckelig,1
