hashtags,count
afd,14
wedel,9
afdwählen,9
schenefeld,9
afdelmshorn,9
afdpinneberg,9
afdschleswigholstein,9
afdklärtauf,9
afdjetzterstrecht,9
afdwirkt,9
afd_lv_sh,9
halstenbek,9
rellingen,9
quickborn,9
pinneberg,9
elmshorn,9
afdschenefeld,9
afddeutschland,5
afd_team,4
deutschland,3
weidel,3
neuwahlen,3
capcut,3
cdu,3
merz,3
bundestagswahl,3
chrupalla,2
musk,2
bundestag,2
bundestagswahl2025,2
btw2025,2
bundestagswahl20,1
remigration2025,1
remigration,1
steuern,1
strompreis,1
habeck,1
politik,1
wahlen,1
u18wahl,1
trump,1
kickl,1
österreich,1
fpö,1
ukraine,1
sachsen,1
russland,1
btw25,1
german,1
viral,1
viralvideo,1
tanken,1
deutsch,1
fyp,1
gruene,1
madgeburg,1
afdfraktion,1
