emoji,count
💙,410959
😂,103377
👍,94853
❤️,84253
🥰,59718
🤣,51674
🩷,48784
💚,48145
😡,43313
🇩🇪,28344
🙏,23683
💯,20745
👏,19548
💪,16841
🖤,16806
💗,15160
🙈,13373
♥️,10863
🚩,10022
🤮,9588
😁,8645
😅,8631
💖,8417
😳,8169
😭,7839
🌹,7709
🤔,7642
💕,7274
❤,6696
🌾,5608
👎,5546
👌,5217
✌️,4881
🔥,4794
🤑,4736
😏,4555
🤡,4426
👍🏻,4175
😱,3999
🍀,3873
💜,3782
🥺,3704
😈,3570
😍,3333
😝,3245
😉,3221
😎,3072
‼️,3027
🕊️,2816
💓,2785
🙄,2779
🩵,2660
🤝,2500
✨,2466
🤬,2372
🌻,2370
🤪,2304
🫶,2291
🙏🏻,2263
😢,2260
💛,2213
😘,2190
💞,2110
🌸,2087
👑,1991
💎,1901
🦅,1868
😇,1862
😊,1715
🥵,1702
🤥,1438
🤗,1417
🤢,1373
🤩,1321
✊,1309
🤨,1265
💩,1252
❣️,1210
💀,1193
🤦‍♂️,1176
😜,1141
😫,1137
😩,1136
🤭,1120
🦋,1089
🫶🏻,1056
💐,1054
🥳,1046
👏🏻,1039
💋,1008
🤦,1008
✅,963
😔,920
✌,886
😬,880
💪🏻,874
😄,851
❗,851
💝,846
🫡,828
☺️,818
🫂,814
☝️,794
🇺🇦,762
🌷,761
😌,758
🫣,745
😆,704
🌈,687
🤦‍♀️,669
🤲,650
🎁,642
🌺,629
💘,614
🎄,604
✝️,601
♥,597
👍🏼,592
🤦🏻‍♂️,589
✈️,583
🇹🇷,578
👀,571
🥱,556
😃,552
👺,552
🤷‍♂️,550
😞,547
🥹,545
👈,513
🕊,506
💔,502
🙏🏼,494
🙃,487
🚾,480
🧡,474
🌟,473
🙂,469
😥,466
😀,450
☹️,449
👎🏻,445
🐑,441
🎀,436
😤,425
✊🏻,411
💪🏼,411
👏🏼,408
👋,400
🍉,398
🫵,393
🤍,391
🚨,379
🤯,371
🇷🇺,367
❌,360
🎉,359
🔵,357
❓,355
🥲,351
☘️,348
🇪🇺,340
🧐,335
🥶,334
🦁,332
🇷🇴,327
🫶🏼,326
❤️‍🔥,326
🚀,323
👹,320
🏳️‍🌈,309
👉,289
🤟,288
🗳️,272
👊,271
🇵🇸,263
🙌,262
😠,261
😒,254
👿,247
✊🏼,241
✌🏻,241
🟥,240
🤦🏻‍♀️,234
🧿,231
💰,230
😪,227
🤷🏻‍♂️,227
🇦🇫,225
🤦🏼‍♂️,225
☝🏻,225
🎂,222
🟢,220
🌱,215
⚠️,211
💪🏽,210
😻,202
☀️,201
🇨🇭,201
🥴,198
🔴,197
🚦,193
🤫,192
🤷,191
🇺🇸,189
🗿,187
🗣️,186
🥀,184
💥,184
👇,182
☠️,181
🫸,178
🙉,176
🤷‍♀️,175
🤦🏻,174
👏🏽,173
🗳,173
🌍,171
🐭,170
🧠,168
🫀,167
😖,167
🤓,166
😵‍💫,166
👌🏻,166
👍🏽,165
🤐,163
🏴,161
✌🏼,161
⭐,160
⚫,158
🙋,157
🤦🏼‍♀️,156
🎅🏻,155
🔝,154
👎🏼,154
👥,150
😑,148
😋,147
😓,143
👁️,143
💃,137
🤘,136
😐,135
👣,130
💉,130
🤷🏼‍♂️,129
✔️,128
🙊,127
🙋‍♂️,126
⬜,126
🫠,125
🦚,123
🇮🇹,119
👆,118
🤎,118
😺,118
🇺🇲,118
👎🏿,117
🫵🏻,115
🥂,115
🙏🏽,114
😹,114
⬛,112
☮️,112
🏆,111
🇭🇺,110
😴,109
🎊,106
💸,105
😕,104
🫁,104
🌞,103
😮‍💨,102
😰,102
🤦🏼,101
🌎,101
🐀,101
🗽,101
❤️‍🩹,100
😛,100
🍺,100
🙌🏻,100
❎,99
✍️,98
🤦🏽‍♂️,97
🦾,93
🤧,92
💪🏾,92
☝🏼,91
👏🏾,91
👌🏼,90
🤞,90
🌿,90
🐺,87
🆘,87
🟩,87
🔨,87
🇦🇹,83
💫,82
🗣,82
🤕,81
🥇,80
❄️,80
🚪,79
🤝🏻,79
😨,78
🚫,78
👫,78
🎶,77
🍾,77
🇦🇱,76
🤦🏾‍♂️,75
🫶🏽,75
✊🏽,74
🧱,74
🔛,74
⁉️,73
💅,73
🔪,72
🤷🏼‍♀️,72
👽,72
👆🏻,70
🎈,70
🇩🇰,70
🟣,70
🤷🏻‍♀️,70
❣,70
🌲,69
🏳️‍⚧️,69
🙅,68
🕯️,67
🫰,66
🧶,66
⚡,66
🩶,65
😟,65
💪🏿,63
🤜🏻,62
🎚️,62
🥸,61
🤠,61
💠,61
🇮🇶,61
😷,60
🤛,60
😚,59
🐦,59
📈,59
😣,59
🌶️,59
💤,59
🙂‍↕️,58
📉,58
🍷,58
😵,58
💟,57
😲,57
🤦🏽‍♀️,56
🗝️,56
🖕,56
⚰️,56
🍻,56
✊🏾,55
👇🏾,55
⬇️,55
👋🏻,55
👋🏼,55
🎯,54
✋,53
🇮🇱,53
😸,52
🐖,52
🇵🇱,52
🩸,52
🟦,52
↗️,51
🐦‍⬛,51
🤌,51
🟨,51
💣,50
🙌🏼,50
🎤,49
😮,49
🤜,49
🫢,48
👎🏽,48
🕳️,48
🐦‍🔥,48
👻,48
🚮,48
🎓,48
🐐,48
🤷🏻,47
🤝🏼,46
🦄,46
💡,46
0️⃣,46
🙋‍♀️,45
🪲,44
☪️,44
🐏,44
🧢,44
⛔,44
👍🏾,44
🏭,43
🛫,43
🫸🏼,43
💶,43
🫸🏻,42
✊🏿,42
🙀,42
🇬🇷,41
🙋🏻‍♂️,41
🫏,41
🇮🇪,41
🌼,41
1️⃣,41
🫦,41
🤙,40
🇳🇱,40
👊🏻,40
🪷,40
🕯,39
😶,39
✌🏽,38
☕,38
🙁,38
🆒,37
🙌🏽,37
🕺,36
🐕,36
🇬🇧,36
🤘🏻,36
✌🏾,36
🧹,35
🌊,35
😗,35
🌳,35
👍🏿,35
💨,35
👊🏼,34
🤛🏻,34
🏗,34
🌏,34
🎼,34
🧸,34
🪦,34
🙂‍↔️,33
🟡,33
⬆️,33
✖️,33
🤲🏻,33
🫵🏼,33
📣,32
💌,32
🫨,31
🐞,31
🧌,31
🙏🏾,31
👃,30
♾️,30
⚪,29
🚬,29
🚥,29
🧨,28
🇫🇷,28
🇽🇰,28
☢️,28
🥒,28
🇪🇦,27
🇧🇪,27
🍋,27
🍐,27
⌚,27
✂️,26
🫷,26
🥚,26
✌🏿,26
🫤,26
🍿,26
🌬️,25
👼,25
🍭,25
🇹🇩,25
📢,25
🫥,25
👷,25
🤌🏻,25
💴,25
🐒,25
🦊,25
📊,25
🙋🏼‍♂️,25
🎵,24
🎧,24
🚽,24
☦️,24
🕋,24
⚒️,24
👉🏾,23
👌🏽,23
🇰🇿,23
🍔,23
⚔️,23
⚽,23
👈🏾,23
🎆,22
🔫,22
🍌,22
⚜️,22
🍅,22
🫐,22
🍒,22
👩🏻‍🤝‍👨🏼,22
🤚,22
🖖,22
🥙,22
🔻,22
🪩,22
👸,21
✈,21
🐄,21
🧟,21
☝🏽,21
🟤,21
👤,21
🥊,21
🤌🏼,21
🇸🇾,21
🍪,20
👆🏾,20
☑️,20
🐶,20
🗑️,20
👄,19
🇪🇸,19
☄️,19
🙆‍♂️,19
🥷,19
😯,19
☔,19
⬅️,19
🚔,19
🍟,19
🤷🏽‍♂️,19
🥔,19
⚖️,19
🏠,18
🐁,18
☝,18
🇷🇸,18
🍞,18
🫱🏻‍🫲🏼,18
🧕,18
🙇,18
☁️,18
🦎,18
🤝🏽,17
🎻,17
🤒,17
💵,17
👇🏼,17
🙅‍♂️,17
💁‍♂️,17
🍃,17
🦇,17
👎🏾,17
💅🏼,17
🫵🏽,17
🤤,17
🇭🇷,17
🟫,16
👈🏻,16
🥁,16
🇧🇦,16
🏅,16
‼,16
🤷🏼,16
👇🏻,16
👊🏾,16
🐲,16
🫰🏻,16
🪐,16
🐽,16
🇧🇬,16
🤦🏿‍♀️,16
🍓,16
⛽,15
🔜,15
🐷,15
😦,15
2️⃣,15
🪖,15
🐂,15
🫱🏾,15
🌐,15
🐱,15
🐡,15
🪼,15
🤷🏽‍♀️,15
💭,15
🙋🏽‍♂️,15
🌴,15
🍡,14
📚,14
😙,14
🎱,14
😧,14
🤘🏽,14
☁,14
🐿,14
🤦🏽,14
🇬🇪,14
🇧🇷,14
🙋🏻‍♀️,14
🔱,14
🤞🏻,14
♠️,14
🇦🇷,14
🇹🇯,14
🤘🏼,13
👮,13
👉🏻,13
🏴‍☠️,13
🐮,13
🤷🏽,13
👸🏻,13
🖐,13
☦,13
🐍,13
👸🏼,13
🤞🏼,13
👨‍👨‍👧‍👦,13
🫧,13
🍰,13
🦖,13
🐯,13
💅🏻,13
✍,13
🤦🏾,13
🇵🇹,13
🦍,13
😶‍🌫️,13
🫅,13
💄,13
🇲🇦,13
💊,12
🫶🏾,12
💁🏼‍♂️,12
🍇,12
👅,12
🔷,12
🫳,12
🇮🇷,12
🐎,12
🪟,12
🙆,12
👳‍♂️,12
🫱🏼,12
🪽,12
🤖,12
💦,12
🐳,12
➡️,12
🍎,12
🇨🇵,12
🐌,12
🦨,12
🦆,12
📍,12
🦧,12
🏴󠁧󠁢󠁥󠁮󠁧󠁿,11
👏🏿,11
🇦🇿,11
🫲🏻,11
🎭,11
🛸,11
👂,11
💃🏻,11
🏫,11
👉🏼,11
🐝,11
🗑,11
🏃,11
🪴,11
🤘🏾,11
🔊,11
🚗,10
🍏,10
🌓,10
🤙🏻,10
👌🏿,10
👨‍👩‍👦‍👦,10
🚹,10
🍩,10
⚓,10
👩‍❤️‍💋‍👩,10
🕷️,10
🐾,10
🏳️,10
🙏🏿,10
🙅‍♀️,10
❕,10
🐊,10
🇸🇰,10
🚜,10
🙋🏼‍♀️,10
🦠,10
🛑,9
🐓,9
🥕,9
🧑🏻‍🤝‍🧑🏻,9
🇨🇳,9
🪻,9
🤳,9
🤌🏽,9
🔺,9
🦩,9
🛩,9
⏳,9
🏥,9
🇨🇿,9
🇻🇳,9
🛒,9
🦂,9
🇱🇧,9
🤴,9
🚘,9
🏃‍♂️,9
🐈‍⬛,9
🫱🏼‍🫲🏽,9
🐵,9
🅰️,9
🩲,8
🍸,8
🦦,8
💃🏼,8
🎸,8
🇲🇩,8
✔,8
☣️,8
🪳,8
🌅,8
♿,8
🎇,8
🚣,8
🇨🇦,8
🇦🇺,8
⤴️,8
🐪,8
🤙🏽,8
🇰🇵,8
🌀,8
🕺🏼,8
🧃,8
💁🏻‍♂️,8
🧣,8
🐨,8
🐃,8
☺,8
🎗️,8
😼,8
🤏,8
☹,8
♻️,8
👾,7
⏰,7
🌑,7
🇦🇩,7
🫶🏿,7
🍁,7
📝,7
🤙🏼,7
🏡,7
👔,7
🔇,7
🤏🏼,7
🦜,7
🫱🏻‍🫲🏾,7
📕,7
🥦,7
🇲🇰,7
🤘🏿,7
💍,7
🌚,7
🐸,7
🪂,7
🚧,7
🥝,7
🪨,7
🇩🇿,7
🦈,7
🧳,7
🐰,7
🤷🏾‍♂️,7
😽,7
🥜,7
🪱,7
☠,7
✉️,7
👌🏾,7
🏃‍♀️,7
🇱🇹,7
🍧,7
🏛,7
🐻,7
🖊️,7
☃️,7
🥨,6
⛑️,6
🇧🇾,6
🎪,6
🏢,6
🇵🇪,6
🫩,6
🚒,6
🇻🇦,6
♒,6
🐘,6
🚖,6
🧟‍♂️,6
🫱🏻‍🫲🏽,6
💁‍♀️,6
🧟‍♀️,6
🏳,6
🏰,6
🤰,6
🪓,6
👩🏻‍🤝‍👩🏼,6
👨🏻‍🤝‍👨🏼,6
🍦,6
🦉,6
🐧,6
👗,6
🏋️,6
🧍‍♂️,6
🗡,6
🙅🏻‍♀️,6
🛰,6
🐛,6
🙌🏾,6
📖,6
🍑,6
🧑‍🦲,6
🔹,6
🪄,6
🥋,6
®,6
🌙,6
🍄,6
🌝,6
🚸,5
👶,5
🖕🏻,5
🍯,5
💁🏼‍♀️,5
🗡️,5
💅🏽,5
🛟,5
💆‍♂️,5
🪢,5
🎩,5
🎮,5
🐢,5
🌮,5
🇸🇪,5
🚑,5
◾,5
📥,5
😿,5
🙆‍♀️,5
🎖️,5
🤵‍♀️,5
☝🏾,5
🐈,5
🪪,5
🧙‍♀️,5
5️⃣,5
🅰,5
♀️,5
⛰,5
🍊,5
🐉,5
🇸🇴,5
💧,5
🅱️,5
🥗,5
🧚‍♀️,5
🇱🇺,5
↘️,5
🟪,5
💢,5
☘,5
🏘️,5
👨,5
📺,5
🌖,5
🫱🏽‍🫲🏼,5
☄,5
🤞🏽,5
🍫,5
🐆,5
🇳🇴,4
🪵,4
👟,4
✋🏻,4
🐅,4
🔞,4
👊🏿,4
👈🏽,4
🚛,4
🇸🇮,4
🫑,4
🦸‍♀️,4
👆🏽,4
👧,4
🧼,4
🫴,4
🍹,4
✏️,4
🥤,4
🏹,4
👩🏼,4
🥖,4
🧚🏽‍♀️,4
🦕,4
🙅🏼‍♀️,4
🧙‍♂️,4
🧑‍🍳,4
👊🏽,4
⤵️,4
🖕🏼,4
🙋🏻,4
🥥,4
🧅,4
🫰🏼,4
💷,4
🐇,4
👁,4
🇲🇾,4
🧎,4
🙅🏻,4
🇪🇪,4
🖐🏼,4
🪤,4
🔍,4
🚶‍♂️,4
💁,4
🚶‍♀️,4
🪣,4
🪶,4
🥷🏻,4
🤜🏾,4
☀,4
⛓️,4
🥩,4
🆙,4
👨‍🦲,4
☢,4
🧁,4
🌭,4
👬,4
🏦,4
🐩,4
🧑🏻‍🤝‍🧑🏼,4
🖐️,4
🍳,4
🤟🏼,4
🏁,4
🕳,4
💁🏻‍♀️,4
🦌,4
🐣,4
🇹🇳,4
🪰,4
🪠,4
🟰,4
🪙,3
🌵,3
🤟🏾,3
📯,3
☝🏿,3
🥛,3
🤜🏼,3
🇵🇰,3
🚂,3
👷‍♂️,3
🙇🏻‍♀️,3
♨️,3
🌗,3
👩‍⚖️,3
🌒,3
📷,3
🇲🇫,3
🏨,3
👠,3
🫵🏿,3
🪕,3
🍚,3
👩🏿‍🦱,3
🔬,3
❄,3
🚏,3
🇰🇬,3
🚆,3
🏬,3
🤦🏿‍♂️,3
🕺🏿,3
🕶️,3
🫙,3
🍼,3
👱🏻‍♀️,3
🏔,3
Ⓜ️,3
🎃,3
🕸️,3
🇱🇻,3
🕷,3
🟧,3
🗓️,3
🍖,3
🙆🏻‍♀️,3
🤚🏼,3
🇮🇳,3
💬,3
🦷,3
♏,3
📦,3
⚱️,3
🕎,3
🌋,3
🏃🏻‍♀️,3
🫸🏽,3
🔗,3
🪆,3
🧚🏻‍♀️,3
🙎,3
🥉,3
🦹🏻‍♀️,3
👴,3
👩,3
🙅🏼,3
👕,3
🐋,3
🐗,3
🧑🏽‍🎤,3
🔮,3
🇱🇰,3
🖱️,3
🇲🇨,3
👵🏼,3
🤝🏾,3
🔔,3
🍜,3
🇬🇫,3
🌛,3
⌨,3
🇦🇪,3
🫳🏻,3
🌜,3
🤲🏼,3
🆗,3
👨🏻‍🎨,3
🇮🇲,3
🆎,3
🇪🇷,3
🇨🇩,3
🫱🏽‍🫲🏻,3
🇾🇪,3
🇸🇩,3
➕,3
✡️,3
🫱🏼‍🫲🏾,3
🫷🏼,3
🩹,3
🙅🏽‍♂️,3
🛢️,3
🧘🏾‍♂️,3
🏀,3
✒️,3
🤟🏻,3
📸,3
💹,3
🦘,3
🚎,3
🧂,3
🐥,3
🤚🏻,3
🚺,3
🇲🇳,3
3️⃣,3
🦃,3
🌕,3
🏋️‍♀️,3
✋🏽,3
🏄‍♂️,3
⛓️‍💥,3
📩,2
💁🏾‍♂️,2
👳🏿‍♂️,2
👨🏻,2
💆,2
🙋🏾,2
™,2
🇭🇹,2
🙅🏻‍♂️,2
🙆🏾‍♀️,2
🕰️,2
🚿,2
🧚,2
🏊🏽‍♂️,2
✍🏾,2
👓,2
👴🏻,2
🙆🏾‍♂️,2
🌰,2
🗓,2
🧚‍♂️,2
🔙,2
👨🏽,2
🖊,2
🪜,2
🦝,2
🥃,2
👩‍🌾,2
👯‍♂️,2
🧬,2
🙍🏼,2
👶🏻,2
🇨🇴,2
♣️,2
🏴󠁧󠁢󠁳󠁣󠁴󠁿,2
🎹,2
🧕🏽,2
🌯,2
🤿,2
🧔🏻,2
♦️,2
⚙️,2
🫲🏼,2
🤛🏼,2
🕌,2
🇹🇭,2
🇦🇶,2
👯‍♀️,2
🚌,2
🪬,2
㊗,2
🩺,2
🦶,2
😾,2
⛓,2
👖,2
🫳🏽,2
🔐,2
🧎🏻‍♀️,2
📻,2
🏔️,2
🥞,2
♂️,2
🥟,2
💲,2
📧,2
🚢,2
🅱,2
🧏🏼‍♀️,2
🔦,2
🧑,2
🇫🇮,2
👮‍♂️,2
🧑🏻‍🤝‍🧑🏾,2
🙎🏿‍♂️,2
🌬,2
🧛🏻‍♀️,2
🫱🏽‍🫲🏾,2
🦔,2
🤴🏿,2
🐟,2
🧛,2
🧎🏻,2
🫳🏼,2
💿,2
🇳🇬,2
🏊‍♂️,2
🥄,2
⛷️,2
🎅,2
🦯,2
🖖🏿,2
🧏,2
💁🏼,2
🇺🇿,2
🥬,2
🐻‍❄️,2
🦐,2
🌌,2
🤞🏾,2
🕺🏻,2
🤸,2
🍂,2
🚭,2
🪫,2
🙆🏻‍♂️,2
🫵🏾,2
☎️,2
🚶🏾,2
🔑,2
🦻,2
🌪️,2
🧎‍♀️,2
🥈,2
👈🏼,2
🦓,2
🚃,2
🍴,2
🀄,2
🍗,2
🙍🏼‍♀️,2
🧻,2
👶🏿,2
⛈,2
👪,2
🇯🇴,2
🇨🇺,2
🙅🏽,2
☑,2
👨‍⚕️,2
🦭,2
👩‍👩‍👧‍👧,2
🥑,2
👆🏼,2
📌,2
🛌,2
🔟,2
🤦🏾‍♀️,2
🕸,2
🐜,2
🛖,2
🙋🏼,2
🦸‍♂️,2
🙋🏽,2
🐔,2
🏃🏽‍♀️‍➡️,2
🌧,2
🫱🏼‍🫲🏻,2
👮‍♀️,2
🤷‍♀,2
🦺,2
🎬,2
🧏🏻‍♂️,2
🛠️,2
🐫,2
🇺🇬,2
🅾️,2
🇧🇫,2
👋🏿,2
⚧️,2
♉,2
🕹,2
📰,2
🗯️,2
🤷🏿‍♂️,2
🆓,2
✳️,2
◼️,2
🧭,2
🅾,2
🇱🇾,2
📀,2
✴️,2
🦏,2
🥭,2
👨‍🍳,2
💁🏽‍♀,2
🍕,1
🔉,1
♾,1
🪞,1
🫴🏼,1
👵,1
👩🏼‍⚖️,1
⛵,1
🏌️,1
⏲,1
🤚🏾,1
🤸🏼,1
👨🏿,1
🙅🏾‍♀️,1
🧀,1
👨🏾,1
🤏🏽,1
🐬,1
🤚🏿,1
🖖🏽,1
🔲,1
👇🏿,1
▪️,1
🧴,1
🪃,1
🧎🏼‍♀️‍➡️,1
🍵,1
💼,1
🧞‍♀️,1
👨🏼,1
⛩️,1
🧑‍🎄,1
🇧🇻,1
🫱🏻,1
🧊,1
👦,1
🆔,1
➰,1
👩‍🦲,1
👨‍❤️‍👨,1
🔕,1
🕺🏾,1
🙅🏽‍♀️,1
☯️,1
🥢,1
🤹‍♂️,1
🎨,1
🏇,1
🏃🏻‍➡️,1
🏝️,1
🎙,1
🍆,1
👨‍💻,1
♊,1
🇰🇪,1
👢,1
💺,1
🗻,1
🤺,1
🏵,1
👨🏻‍🦲,1
🏻,1
🧑🏻‍🦲,1
🏄‍♀️,1
🏝,1
🦢,1
🇵🇦,1
🙇‍♂️,1
🥷🏽,1
🇰🇷,1
🧗🏽‍♂️,1
🏂,1
👨‍🍼,1
9️⃣,1
🧏‍♂️,1
🧑‍🌾,1
👐🏿,1
🌡️,1
🖼️,1
🫘,1
🫴🏾,1
💇,1
🤴🏻,1
🔚,1
🕒,1
👨‍🦱,1
👩‍🦱,1
🛐,1
🎴,1
🧍🏽‍♀️,1
👩‍🏫,1
🏐,1
👡,1
📇,1
👲,1
🏋🏻,1
👨‍🎨,1
®️,1
👱‍♀️,1
🇲🇽,1
🚙,1
🏄🏻‍♀️,1
🧍‍♀️,1
🩻,1
🎅🏼,1
🙇🏻‍♂️,1
🏤,1
🖕🏽,1
🫓,1
🤷🏻‍♂,1
🧑‍⚖️,1
💒,1
🙆🏼‍♀️,1
🌠,1
🐴,1
👞,1
☪,1
🧑🏻‍💻,1
🫅🏻,1
🤷🏾,1
🚴‍♀️,1
🦞,1
🧑🏻‍🤝‍🧑🏽,1
🍥,1
🍽,1
👳🏽‍♂️,1
👨‍🎓,1
👱,1
🥾,1
📞,1
🏞,1
🏎,1
🪧,1
💃🏿,1
🫚,1
🧷,1
🦙,1
👐🏼,1
💃🏽,1
✍🏽,1
🖍,1
🏃‍♂️‍➡️,1
🛜,1
🤴🏼,1
🧧,1
👐,1
🔋,1
🫱🏻‍🫲🏿,1
🔆,1
↩️,1
🌤️,1
🐤,1
👨🏼‍🤝‍👨🏻,1
🏖️,1
🧍🏻‍♀️,1
🧑‍🎨,1
💳,1
🏷,1
🚅,1
🛷,1
🧘🏻‍♀️,1
👨🏻‍🤝‍👨🏽,1
👬🏻,1
🚈,1
🚊,1
🚝,1
🚇,1
🚞,1
🚟,1
🧔🏽‍♀️,1
↗,1
🦮,1
🦼,1
🤏🏻,1
🤸🏻,1
🏎️,1
🗄️,1
🥣,1
👨‍⚖️,1
🧑‍💼,1
👐🏻,1
🧘‍♀️,1
🗨,1
🌂,1
🇹🇬,1
👨🏼‍🦲,1
👨‍👩‍👧‍👧,1
🏋🏻‍♀️,1
🔶,1
🍄‍🟫,1
🫰🏽,1
↩,1
↪,1
🇨🇮,1
🇬🇭,1
🇸🇳,1
💽,1
✝,1
🤹,1
4️⃣,1
🦛,1
🃏,1
🫃,1
💻,1
🎠,1
⛏️,1
👩‍🎨,1
🎛,1
