emoji,count
❤️,37708
😂,31914
🥰,19762
🤣,16891
👍,16580
💙,15298
😡,9059
♥️,5664
🙈,4461
🙏,4361
👏,4289
🌹,4004
❤,3813
💪,3808
💯,3561
🇩🇪,3126
💚,2619
😅,2580
😁,2390
🤔,2248
😭,2187
😳,2092
🤑,2046
🩷,1742
👎,1710
👌,1335
😏,1323
🖤,1282
😈,1229
🔥,1157
✌️,1109
🥺,1091
😝,1087
💖,1033
😱,993
💗,943
🤮,903
👑,896
😉,894
🙄,849
😍,781
😎,761
😘,718
🤡,710
👍🏻,700
🤪,639
💜,622
‼️,613
🤝,605
🤬,591
🍀,570
💕,549
💞,538
🚩,518
🤥,504
🙏🏻,503
😊,479
😢,474
🤩,457
🌾,410
😇,391
🤲,387
🥵,385
❣️,383
💛,379
😜,375
🤦‍♂️,361
🤨,356
🌸,348
💐,317
🤭,310
🤦,306
✌,304
🫡,299
✨,298
😫,296
🫶,288
😄,287
💀,273
😩,272
🤗,271
🍉,261
🌺,256
😬,247
🦋,245
😔,241
💝,238
😆,223
👏🏻,221
🌷,219
💋,218
😌,215
❗,209
🩵,208
🤦‍♀️,204
☺️,198
🥳,198
💔,196
☝️,194
♥,189
🇦🇫,185
💓,183
🇺🇦,182
💩,176
🫣,174
🤦🏻‍♂️,174
👀,170
🥱,167
🎁,164
✊,163
🦁,163
🤷‍♂️,160
🐑,158
☘️,149
👋,144
💎,140
👈,139
👺,136
🤢,136
😞,136
😥,129
☹️,127
👎🏻,126
🇵🇸,125
🕊️,123
✈️,120
😤,120
😀,116
🤍,113
😃,112
👍🏼,112
🎄,112
💪🏻,111
✅,110
🥹,108
🤓,108
🇹🇷,107
🤯,106
🔴,104
🙃,100
🔵,96
🙂,96
😒,94
🫶🏻,93
☝🏻,92
🥀,91
🫂,88
👏🏼,87
🌻,87
🙋,83
🥲,83
🕊,82
👿,82
🧿,82
💰,80
❓,78
🙌,76
🤦🏼‍♂️,76
🤷🏻‍♂️,75
🙏🏼,73
🧐,68
🧡,68
🌈,67
🦅,67
🥶,66
👇,65
💪🏼,65
✔️,65
🫵,64
❌,63
❤️‍🔥,63
👁️,62
😠,62
🇮🇶,60
👹,59
👏🏾,58
💪🏿,58
🎀,58
🟢,58
✝️,57
🥴,56
🗳️,56
🎚️,56
🫵🏻,54
👊,53
🧠,53
😪,52
💘,51
🎅🏻,51
🤦🏻‍♀️,50
😵‍💫,49
⚠️,49
🚦,49
😋,47
🤷‍♀️,47
🏆,46
🤷,46
🇷🇺,45
👉,45
👆,45
🆘,45
😻,44
🗣️,44
🇪🇺,43
🙉,43
☠️,42
💸,41
✌🏻,41
😑,41
🔝,41
🤐,40
😐,40
🤟,40
🗿,39
🚀,39
🫶🏼,39
💉,37
🫸,37
🥇,36
💥,36
🌍,36
🙊,36
😴,35
👋🏼,35
😹,35
🇦🇱,35
💪🏽,35
🦚,35
🇨🇭,33
🙏🏽,33
👌🏼,33
🍷,33
☮️,32
👏🏽,32
😖,32
👍🏽,32
👋🏻,32
🤷🏼‍♂️,31
🌟,31
👌🏻,30
🤦🏻,30
🙅,30
✌🏾,30
🤠,30
🟥,30
⭐,30
💃,29
💫,29
👍🏿,29
🤧,28
🐀,27
🏳️‍🌈,27
🫏,27
🦾,26
🤦🏼,26
✊🏻,26
🤎,26
😮‍💨,25
❤️‍🩹,25
🌲,24
✍️,24
👎🏼,24
🫠,24
💶,24
☀️,24
🤦🏽‍♂️,24
🤦🏼‍♀️,24
🏴,23
🔛,23
🤘,22
🚨,22
🤫,22
🔪,22
👫,21
🤝🏻,21
🎤,21
🫶🏽,21
🥸,20
🫰,20
🩸,20
🙏🏾,20
❄️,19
🇮🇪,19
🌎,19
🇮🇹,19
🌿,18
🥙,18
🌏,18
🕯️,18
💴,18
🎶,17
🚥,17
😓,17
🙋‍♂️,17
🤲🏻,17
📉,16
🇷🇴,16
🗣,16
🤦🏾‍♂️,16
🕺,16
⚽,16
👎🏿,15
✊🏼,15
🔻,15
💤,15
⌚,15
🙌🏻,15
🐏,15
😕,15
🥊,14
🐦,14
✈,14
🇽🇰,14
👇🏻,14
🫵🏼,14
✌🏼,14
🇺🇸,14
🤦🏽‍♀️,14
👥,14
🇮🇱,14
⬇️,13
🤛,13
🚬,13
🚫,13
🚪,13
💅,13
👨‍👨‍👧‍👦,13
😨,13
⁉️,13
🙌🏼,13
🎉,13
☄️,13
🤷🏻,12
🇸🇾,12
🍋,12
🙂‍↕️,12
😲,12
🐡,12
⚫,12
🤜,12
🟩,12
🤝🏽,12
🎧,12
👳‍♂️,12
🫢,12
🧢,12
🍭,12
☝🏼,12
🧕,12
👩🏻‍🤝‍👨🏼,12
🗽,12
🫅,12
🧸,11
🫀,11
🤌,11
👎🏾,11
🪩,11
🩶,11
⛔,11
⬛,11
✌🏽,11
🤕,11
💡,11
🤙,11
🤷🏽‍♂️,10
🪟,10
🏭,10
🫦,10
🤘🏻,10
🐦‍🔥,10
🍾,10
🤷🏼‍♀️,10
🙁,10
💨,10
👩‍❤️‍💋‍👩,10
🔫,10
🐺,10
😟,10
🪼,10
🙂‍↔️,10
🟨,10
☦️,10
☪️,10
🇦🇹,10
📈,10
😣,10
😛,9
🫷,9
😚,9
😗,9
🌊,9
👉🏾,9
👍🏾,9
👻,9
🇧🇪,9
🫸🏻,9
🎓,9
🙋🏻‍♂️,9
💟,9
👈🏾,9
🍒,9
🇵🇱,9
🖕,9
