emoji,count
💙,137779
👍,22720
🇩🇪,7171
😡,6550
🥰,5494
🙏,4518
💯,4329
😂,3740
👏,2969
💪,2873
❤️,1718
🤣,1624
👍🏻,884
🤮,854
😳,761
💚,718
👌,673
🕊️,613
🙈,578
😁,570
😭,564
🍀,551
🤔,551
😢,471
🤬,470
🙏🏻,422
♥️,411
🩵,397
😅,379
😎,348
🖤,346
🥺,330
😱,307
🦅,306
😇,304
😏,296
😉,285
🌹,282
🫶,277
💛,276
😈,270
💜,269
‼️,241
✌️,240
👎,238
✈️,232
💎,229
🤝,223
✝️,217
🫂,215
🩷,200
🔥,198
❤,181
😍,171
🦋,157
🤗,146
💪🏻,140
🤡,138
🙄,134
🤑,127
🕊,117
🤪,115
😊,113
😔,109
😘,109
🤢,105
🗳,104
👈,96
💐,96
👍🏼,96
😥,96
❗,93
👏🏻,93
🤦,91
🥵,91
❣️,91
🤩,84
😝,83
☝️,83
💕,79
👑,78
🤨,75
😬,74
😞,70
🤦‍♂️,69
🎁,68
🫶🏻,68
🦚,67
🤥,64
💪🏼,62
🙏🏼,61
🥳,60
😫,59
😩,59
🫵,59
✊,58
😜,57
😤,56
☺️,54
😃,54
🎉,54
💩,53
❓,52
🙂,50
😌,49
🤦‍♀️,49
💋,48
🫣,47
🐑,46
🤷‍♂️,46
❌,45
🫡,44
👋,41
🤯,41
🔵,41
😪,40
💔,39
😰,36
💥,36
💞,36
✌,36
🧐,35
🇷🇺,35
☹️,35
🤟,35
😠,35
♥,34
👥,34
💘,33
👣,32
😄,31
🤦🏻‍♂️,31
👉,30
🇺🇸,30
💖,30
👊,29
💰,29
🤭,29
🥶,28
👏🏼,28
✅,28
🤲,28
🕯️,27
😆,27
⚠️,26
👹,25
🏳️‍⚧️,25
🏳️‍🌈,25
👍🏽,24
✊🏻,24
💀,23
🤍,23
🙋‍♂️,23
🙃,22
👌🏻,22
👺,21
😑,21
🗳️,20
🆒,20
👎🏻,20
😀,20
👀,20
👿,20
🤕,20
🚀,19
📣,19
🇮🇹,19
🕋,19
☠️,19
💓,18
☝🏻,18
🌷,18
🇷🇴,18
✌🏻,18
😒,18
🤘,17
🚦,17
🥹,17
💗,16
🚩,16
🫶🏼,16
😮,16
✍️,16
🤦🏼‍♀️,16
🌾,16
❎,15
👎🏽,15
🏆,15
🤷,15
☀️,15
🛫,14
🧿,14
🤦🏼‍♂️,14
🌺,14
🤷‍♀️,14
✖️,14
🇦🇹,14
🇺🇲,14
🗿,13
✨,13
😖,13
☮️,13
🤦🏻‍♀️,13
☪️,13
🤛,13
🦁,12
🤷🏻‍♂️,12
🗣️,12
🙋🏽‍♂️,12
💸,12
🎄,12
😓,12
🪲,12
⁉️,12
🇹🇷,12
🗽,11
💃,11
🥂,11
🎯,11
🤛🏻,11
🇨🇭,11
🤜,11
😵‍💫,10
🤜🏻,10
🤦🏻,10
💪🏾,10
🇦🇷,10
🐀,10
🫸,10
🦨,10
🟢,10
👎🏼,10
🤎,10
🤷🏼‍♂️,10
🥱,10
🐕,9
🤝🏻,9
🥴,9
🇬🇷,9
🫵🏻,9
🟩,9
🧡,9
🩸,8
🥲,8
🫨,8
🔪,8
🍾,8
🙌,8
💡,8
🍃,8
🐏,8
🟥,7
🕯,7
🇳🇱,7
✊🏿,7
🌲,7
🗑️,7
😐,7
💉,7
🌈,7
🍿,6
🙀,6
👊🏼,6
🥸,6
😟,6
🧕,6
🫷,6
🇷🇸,6
🇫🇷,6
🫩,6
😴,6
🍻,6
🌎,6
🏳️,6
💦,6
❄️,6
🎂,6
🤝🏼,6
⬛,6
🫸🏼,6
👊🏻,6
💫,6
☝🏼,6
🦂,6
☕,6
👌🏼,6
🎵,5
🇦🇺,5
🙋🏻‍♂️,5
🕷️,5
🤦🏼,5
🤠,5
🐯,5
🐷,5
❤️‍🔥,5
🙋‍♀️,5
2️⃣,5
🐞,5
🇩🇰,5
✔️,5
🐺,5
🙋🏼‍♂️,5
🙏🏽,5
🤫,5
👏🏽,5
⛽,5
🇺🇦,5
💝,5
🧟,4
🥷,4
😋,4
🔜,4
🤷🏻‍♀️,4
✍,4
🫸🏻,4
🤷🏻,4
🦧,4
🇰🇿,4
🩶,4
👎🏿,4
😯,4
🤞,4
🔨,4
⚫,4
🧨,4
👍🏾,4
🎶,4
📊,4
📉,4
🔴,4
🤤,4
🩲,4
🍺,4
🌍,4
👨‍👩‍👦‍👦,4
🙋,4
💣,4
✔,4
😕,4
🚮,4
🏅,3
🤷🏼‍♀️,3
🙋🏼‍♀️,3
🔝,3
🇭🇺,3
😲,3
🙁,3
🖕,3
🏫,3
😺,3
🥚,3
💟,3
💶,3
🌱,3
↗️,3
👇,3
🚜,3
🍌,3
🎅🏻,3
⚒️,3
💠,3
🇪🇺,3
🔷,3
💁‍♂️,3
🚨,3
⚪,3
📚,3
🤙,3
⚰️,3
👆,3
🗡️,3
⏰,3
🟦,3
❤️‍🩹,3
🥔,3
🤵‍♀️,3
😣,3
🚒,3
🎀,3
🐾,3
⬇️,3
🙋🏾,2
🧸,2
🤦🏾,2
🪆,2
😛,2
🤳,2
🤝🏽,2
🕺,2
💁🏾‍♂️,2
🙆🏾‍♂️,2
🌿,2
😗,2
🧭,2
😨,2
🙎🏿‍♂️,2
⭐,2
🪟,2
🧔🏻,2
🙍🏼‍♀️,2
🙍🏼,2
✌🏼,2
🕎,2
🙌🏻,2
🍷,2
🧕🏽,2
⚡,2
👳🏿‍♂️,2
👩🏿‍🦱,2
👅,2
🇨🇳,2
🌊,2
🥨,2
🤦🏾‍♂️,2
🌐,2
👻,2
🚽,2
📈,2
🐒,2
🏁,2
1️⃣,2
☦️,2
🇲🇨,2
🇦🇶,2
👁️,2
🙏🏾,2
🐛,2
🇭🇷,2
⚖️,2
🙉,2
🇦🇫,2
👧,2
🖊️,2
🤘🏻,2
🧠,2
🧢,2
🏃🏽‍♀️‍➡️,2
🔱,2
😹,2
0️⃣,2
🏰,2
3️⃣,2
☘️,2
🎊,2
✋🏻,2
👟,2
🫐,2
🪼,2
🤲🏻,2
⚓,1
🚙,1
🦶,1
🎇,1
🫧,1
🫱🏻‍🫲🏼,1
🇧🇦,1
🗣,1
5️⃣,1
🍐,1
🤓,1
🎨,1
🏞,1
🪄,1
💆,1
🇲🇫,1
💌,1
🐶,1
🚫,1
🇹🇩,1
💁🏼‍♂️,1
🐍,1
📢,1
⏳,1
🔺,1
🐻,1
😷,1
🎩,1
🎅🏼,1
🟰,1
🍄,1
🍭,1
👗,1
🐖,1
🪂,1
🇮🇪,1
🇫🇮,1
🇬🇧,1
👨‍⚕️,1
🌻,1
🏥,1
⚱️,1
👩‍🎨,1
👮‍♀️,1
🧟‍♂️,1
🐲,1
🇳🇴,1
🛟,1
🇸🇪,1
🏴󠁧󠁢󠁥󠁮󠁧󠁿,1
🏴󠁧󠁢󠁳󠁣󠁴󠁿,1
🇪🇦,1
📍,1
🥇,1
💤,1
😧,1
🇱🇧,1
😦,1
🆘,1
💲,1
💹,1
🦠,1
🏽,1
🤌,1
🎠,1
⬇,1
🟫,1
🏦,1
🫢,1
📝,1
🇱🇹,1
🏊‍♂️,1
📱,1
🚔,1
💵,1
🤧,1
🌜,1
😾,1
✊🏾,1
🎖️,1
☑️,1
🫃,1
🟨,1
🎧,1
🎪,1
✊🏼,1
✊🏽,1
⤵️,1
🪽,1
🗑,1
🇨🇵,1
🍎,1
❣,1
⬜,1
👆🏼,1
🟪,1
🖊,1
🏡,1
🇪🇪,1
👱🏻‍♀️,1
🙂‍↕️,1
🫶🏽,1
⚜️,1
➕,1
