emoji,count
🩷,39672
❤️,25270
💗,11716
😂,8925
👍,8902
🥰,8364
🚩,7923
💙,6847
💖,6037
💕,4748
🌾,4272
🖤,4102
🤣,3538
♥️,2489
😡,2428
👏,2374
🙏,2109
💓,2017
💯,1859
😭,1801
💜,1671
✌️,1668
💪,1610
💚,1595
🌸,1446
🔥,1438
✨,1333
🙈,1201
🤮,1119
😍,1109
❤,1049
😁,989
🌹,845
💞,843
🇩🇪,809
😅,753
😳,716
✊,679
💛,633
👌,603
🤔,599
🫶🏻,546
🫶,532
🥺,526
🤝,496
🤡,470
👍🏻,450
🌈,401
😘,396
🌟,395
💝,387
🕊️,386
😏,380
😎,372
😱,353
😉,350
‼️,342
✌,339
👎,330
🙏🏻,309
👑,302
🎀,302
💘,296
🤗,293
❣️,286
🌷,269
🥹,260
😝,257
💋,251
🙄,247
✊🏻,241
😊,234
🥳,230
🤪,228
🤩,226
🍀,221
🧡,217
👏🏻,215
💩,214
🟥,190
✊🏼,189
🤭,187
💪🏻,176
💐,175
😢,174
😔,173
💀,168
😫,165
😈,161
☺️,150
😌,149
🫶🏼,148
🫡,148
🫀,147
🐭,144
👀,143
🌺,143
🥵,141
🤍,139
🤑,138
😄,138
❤️‍🔥,137
🏳️‍🌈,132
🍉,130
😇,127
⬜,125
🤦‍♂️,124
💪🏽,123
🗳️,123
🥲,122
😩,121
🤢,120
✅,120
🤬,116
🩵,110
🏴,108
🦁,106
👏🏼,101
🙂,99
🤦,99
🫁,96
💪🏼,94
🙏🏼,93
✌🏼,88
✌🏻,84
🎁,82
🗣️,82
🙌,81
😬,80
😺,80
💔,78
🤨,78
🇺🇲,77
😞,75
👏🏽,73
🤟,71
😻,71
🫣,71
😜,71
👹,68
🎉,68
⬛,68
🥱,68
☀️,67
🤦‍♀️,63
🤦🏻‍♂️,62
☝️,61
🤷‍♂️,61
👍🏼,60
💎,59
🫂,59
🦅,58
🔨,58
🤲,57
😃,57
🧠,56
❌,56
🙃,56
❗,56
🗣,54
🔝,53
🎅🏻,51
✊🏽,51
🐦‍⬛,50
🇹🇷,50
💅,48
⭐,48
♥,48
💃,47
🦾,46
🤯,46
😆,45
❣,45
🫸,44
🚀,44
🤫,43
🥴,43
👍🏽,43
✊🏾,40
😤,40
🙏🏽,39
💟,38
😥,37
🧐,36
0️⃣,36
👺,36
🇵🇸,36
🐦‍🔥,35
🔴,35
🫵,35
👈,34
☹️,34
🤷🏻‍♂️,34
😮‍💨,34
👉,33
🗿,33
🤦🏻‍♀️,33
🫠,33
👊,33
☠️,33
😀,32
🔛,32
👫,31
🙂‍↕️,31
🎄,30
🤦🏼‍♀️,29
📈,29
🙌🏻,29
💰,29
🌻,28
👏🏾,28
🫰,28
🤦🏾‍♂️,28
🤌,28
1️⃣,27
❤️‍🩹,26
😒,26
✊🏿,26
🎈,26
🤷,26
❓,26
🟢,26
🪷,25
👿,25
👎🏻,25
🔵,24
✌🏿,24
✝️,24
🫶🏽,24
👌🏻,24
🟩,23
🐞,23
🥀,23
🎊,23
🎶,22
☮️,22
😵‍💫,22
☘️,22
🙌🏽,22
🦋,22
🤘,22
🤕,21
🏳️‍⚧️,21
👍🏾,21
🩶,20
💫,20
✌🏽,20
🗽,20
✈️,20
🕊,20
🦊,20
🟨,19
⚪,19
😠,19
🫦,19
🤷‍♀️,19
🌱,19
⚡,18
🤥,18
⚠️,18
🐖,18
🤞,18
😕,18
📉,17
😷,17
🤝🏼,17
🐦,17
❎,17
⁉️,16
🙋‍♂️,16
😓,16
🥂,16
🤧,16
👻,16
🪲,15
😐,15
❄️,15
🤓,15
🥇,15
⬇️,15
😪,15
🤦🏻,15
👌🏼,15
🤷🏻‍♀️,15
🦄,14
🌞,14
👎🏽,14
🤝🏻,14
🐁,14
🙊,14
🙌🏼,14
🌎,14
🫱🏾,14
🕺,13
🤷🏼‍♂️,13
☝🏻,13
⬅️,13
🍡,13
✔️,13
👆🏾,12
👇🏾,12
🐿,12
🧿,12
🤎,12
🚫,12
👆,12
💄,12
🐀,12
💅🏼,12
🤌🏼,12
☔,12
🥶,12
📊,12
😖,12
⬆️,11
☝🏼,11
🚦,11
😹,11
😋,11
🎯,11
🟣,11
🙉,11
🌊,11
🤘🏻,11
