id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7460844916165313302,2025-01-17 11:30:11,damit jedes kind eine warme mahlzeit hat und deshalb die linke,14,0,7460103138121387296,7460103138121387296,neutral,,[]
7461162996590134038,2025-01-18 08:04:19,"
linke2025
",6,1,7460103138121387296,7460103138121387296,neutral,0.0,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️']"
7462119230311760662,2025-01-20 21:55:02,wer linke politik will macht dann bitte konsequent die kreuze links für eine starke linke im bundestag ,5,0,7460103138121387296,7460103138121387296,negative,1.0,"['💪', '🥰']"
7461010756571988758,2025-01-17 22:13:37,,3,0,7460103138121387296,7460103138121387296,negative,,"['❤️', '❤️', '❤️']"
7475890881096467222,2025-02-27 00:37:28,,2,0,7460103138121387296,7460103138121387296,negative,,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7467326346697736982,2025-02-03 22:41:25,,2,0,7460103138121387296,7460103138121387296,negative,,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7478952073162326806,2025-03-07 06:34:07,,1,0,7460103138121387296,7460103138121387296,negative,,"['🥰', '🥰', '🥰']"
7463027161936380694,2025-01-23 08:38:44,,1,0,7460103138121387296,7460103138121387296,negative,,"['❤️', '❤️', '❤️']"
7461294233734284034,2025-01-18 16:33:22,,1,0,7460103138121387296,7460103138121387296,negative,,['❤️']
7470755974871483158,2025-02-13 04:33:27,,0,0,7460103138121387296,7460103138121387296,negative,1.0,['👍']
7470261496594416406,2025-02-11 20:30:26,"schöne grüße aus thüringen 
geiles programm geiler vibe und klare kante 
deshalb nach der ampel links 
dielinkewaehlen
beidestimmenfuerdielinke",0,0,7460103138121387296,7460103138121387296,positive,1.0,"['👍', '👍', '✊', '\U0001fa77', '\U0001fa77']"
7469392635468464918,2025-02-09 12:18:48,,0,0,7460103138121387296,7460103138121387296,negative,-1.0,"['🚩', '🏴', '✊🏼']"
7467326437084480278,2025-02-03 22:41:28,,0,0,7460103138121387296,7460103138121387296,negative,,"['🥰', '🥰', '🥰', '🥰', '🥰']"
7465307369548268310,2025-01-29 12:06:11,exakt das sind die bressierenden themen unserer zeit,2,0,7465303439631732001,7465303439631732001,neutral,,[]
7465848821676901142,2025-01-30 23:08:02,"
linke2025
",1,0,7465303439631732001,7465303439631732001,neutral,0.5,"['💗', '🚩', '🌾', '❤️', '💗', '💗', '❤️', '🌾', '🚩', '💗']"
7471260774692176662,2025-02-14 13:08:37,merz verhindern  linke wählen  7 stand 14022025  checken alle dass die linke das beste wahlprogramm hat,0,0,7465303439631732001,7465303439631732001,neutral,,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7471232202807902998,2025-02-14 11:17:48,"annabell ist einfach so engagiert und wird bestimmt in zwölf jahren bundeskanzlerin
am 2302 wird die linke gewählte
solidarität und gerechtigkeit nurmitlinks",0,0,7465303439631732001,7465303439631732001,neutral,-1.0,"['🚩', '🚩', '🚩', '\U0001fa77', '\U0001fa77']"
7465472747386733334,2025-01-29 22:48:40,"
linke2025
",0,0,7465303439631732001,7465303439631732001,neutral,-1.0,"['❤️', '🚩', '🤝', '❤️', '🖤', '🖤', '❤️', '🤝', '🚩', '❤️']"
7465420826010977026,2025-01-29 19:26:23,meine stimmen habt ihr für eine starke linke im bundestag ,0,0,7465303439631732001,7465303439631732001,neutral,1.0,"['💪', '🥰']"
7465305240981947158,2025-01-29 11:58:19,muss ich unbedingt verpassen,0,1,7465303439631732001,7465303439631732001,negative,,[]
7463454473244951318,2025-01-24 12:16:15,bro literally vor einer stunde der partei beigetreten und jetzt fangen die atzen in brandenburg an zu tweaken,9,1,7463451738599722273,7463451738599722273,neutral,,[]
7463462955306255126,2025-01-24 12:49:12,o7,2,0,7463451738599722273,7463451738599722273,positive,,[]
7463455389766615830,2025-01-24 12:19:30,alter wie random die linken nun sowas macht haha,2,0,7463451738599722273,7463451738599722273,negative,1.0,['😂']
