id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7457908925893165846,2025-01-09 13:36:02,bin dabei ,1,1,7457898168873749782,7457898168873749782,positive,1.0,"['💙', '💙']"
7457899026269995798,2025-01-09 12:57:34,,1,0,7457898168873749782,7457898168873749782,negative,1.0,"['💙', '💙', '💙', '💙']"
7458207850738500374,2025-01-10 08:57:14, 1900 UHR,2,0,7457898168873749782,7457898168873749782,neutral,1.0,['⏰']
7457945985663795986,2025-01-09 15:59:37,AfD für Deutschland,0,0,7457898168873749782,7457898168873749782,negative,,[]
7457901034033251094,2025-01-09 13:05:14,schon das dritte mal nur noch ,0,0,7457898168873749782,7457898168873749782,positive,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '👍', '👍', '👍', '👍', '👍', '👍']"
7457900379448181526,2025-01-09 13:02:41,,0,0,7457898168873749782,7457898168873749782,negative,1.0,"['💙', '💙', '💙']"
7457900065282654998,2025-01-09 13:01:34,,0,0,7457898168873749782,7457898168873749782,negative,,"['🥰', '🥰', '🥰', '🥰', '🥰']"
7457844488069743382,2025-01-09 09:25:54,Nur noch AfD  Richtig gesprochen Frau Weidel ,2,0,7457839668562791702,7457839668562791702,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '❤️']"
7457843294635934496,2025-01-09 09:21:35,,2,0,7457839668562791702,7457839668562791702,negative,1.0,"['👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '💯', '💯', '💯', '💯', '💯', '💯', '💯', '👍', '👍', '👍', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💯', '💯', '💯', '💯', '💯', '💯']"
7457842382867530519,2025-01-09 09:18:07,,2,0,7457839668562791702,7457839668562791702,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7457841812377879318,2025-01-09 09:15:53,,2,0,7457839668562791702,7457839668562791702,negative,1.0,"['💙', '💙', '💙']"
7457841806513816352,2025-01-09 09:15:49,wäre super ,2,0,7457839668562791702,7457839668562791702,positive,1.0,['👍']
7457841201669866262,2025-01-09 09:13:26,,2,0,7457839668562791702,7457839668562791702,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7457849910101902102,2025-01-09 09:47:12,Wahre Worte Wie immer Super Frau Weidel,1,0,7457839668562791702,7457839668562791702,positive,0.75,"['🇩🇪', '💙', '🇩🇪', '💙', '🇩🇪', '💙', '🐀']"
7457842070922347286,2025-01-09 09:16:40,,1,0,7457839668562791702,7457839668562791702,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙']"
7458463321462735638,2025-01-11 01:31:16,,0,0,7457839668562791702,7457839668562791702,negative,1.0,"['💙', '👍']"
