id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7460848801413169943,2025-01-17 11:45:13,161 ,2,0,7460847092743802144,7460847092743802144,positive,,['\U0001fa77']
7461035915402855190,2025-01-17 23:51:29,das ist wirklich total krass mit der unterschiedlichen lebenserwartung in den verschiedenen stadtteilen abgase lärm schlecht isolierte schimmelwohnungen das alles spielt mit rein,1,0,7460847092743802144,7460847092743802144,negative,,[]
7460861042235769622,2025-01-17 12:32:10,einige wählbare partei es ist einfach so,1,0,7460847092743802144,7460847092743802144,neutral,,[]
7461238706326848278,2025-01-18 12:57:30,,0,0,7460847092743802144,7460847092743802144,negative,-1.0,"['❤️', '🚩']"
7461209305439077142,2025-01-18 11:03:33,so,0,0,7460847092743802144,7460847092743802144,negative,,[]
7460541794687681302,2025-01-16 15:53:29,viel erfolg,3,0,7460535269838556438,7460535269838556438,positive,,[]
7460622350821720854,2025-01-16 21:05:59,ihr schaft das viel erfolg euch,1,0,7460535269838556438,7460535269838556438,positive,,[]
7467062428426814230,2025-02-03 05:38:03,,0,0,7460535269838556438,7460535269838556438,negative,1.0,"['👍', '💯', '🤣']"
7460955926393619222,2025-01-17 18:40:11,lets gooo ,0,0,7460535269838556438,7460535269838556438,negative,0.0,['😏']
7460622147776774935,2025-01-16 21:05:12,viel erfolg euch für gerechte mieten die man sich wieder leisten kann nachderampellinks rotrotgrün für hamburg,0,0,7459710828896341280,7459710828896341280,neutral,,[]
7459384993907999521,2025-01-13 13:04:02,,0,0,7459365648938945825,7459365648938945825,negative,,"['❤️', '🖤']"
7459375256324211488,2025-01-13 12:26:27,deshalb nach der ampel links ,3,0,7459365648938945825,7459365648938945825,neutral,1.0,['✊']
7484304987091174166,2025-03-21 16:45:54,"stabil links und klare kante 
ich habe im übrigen für meine interessen als arbeiterkind gewählt und meine interessenvertretung ist gewerkschaft und die linke ",0,0,7464930231141289248,7464930231141289248,neutral,1.0,"['👍', '\U0001faf6', '✊', '✊', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7466214420608238358,2025-01-31 22:45:47,gibt es essen ,0,0,7464930231141289248,7464930231141289248,negative,,[]
7464985883641905942,2025-01-28 15:18:32,,0,0,7464930231141289248,7464930231141289248,negative,1.0,"['♥', '🖤']"
7464653307450639126,2025-01-27 17:47:50,das ist das hamburg dass ich will ,7,0,7464652292050914582,7464652292050914582,negative,1.0,"['💯', '❤️']"
7464653136802202390,2025-01-27 17:47:02,so geht es die linke für eine bessere zukunft ,4,0,7464652292050914582,7464652292050914582,neutral,-1.0,"['❤️', '✊🏻', '🚩']"
7464819335408714498,2025-01-28 04:34:29,,2,0,7464652292050914582,7464652292050914582,negative,1.0,"['👍', '👍', '👍']"
7464654869229749014,2025-01-27 17:54:06,yes stabiles hamburg leider nicht wie viele andere länder,2,0,7464652292050914582,7464652292050914582,positive,,[]
7464987431063782166,2025-01-28 15:24:36,es wird besser,1,0,7464652292050914582,7464652292050914582,positive,,[]
7485441814117106454,2025-03-24 18:17:23,"stabil links und klare kante 
ich habe im übrigen für meine interessen als arbeiterkind gewählt und meine interessenvertretung ist gewerkschaft und die linke ",0,0,7464652292050914582,7464652292050914582,neutral,1.0,"['👍', '\U0001faf6', '✊', '✊', '\U0001fa77', '\U0001fa77']"
7467062255453750038,2025-02-03 05:37:13,,0,0,7464652292050914582,7464652292050914582,negative,1.0,"['❤', '❤', '❤']"
7464661440169181974,2025-01-27 18:19:35,,0,0,7464652292050914582,7464652292050914582,negative,1.0,"['💪', '🇩🇪', '💙', '💙', '❤️\u200d🔥', '💙', '💙', '🇩🇪', '💪']"
7464661443449488151,2025-01-27 18:19:27,,0,0,7464652292050914582,7464652292050914582,negative,1.0,"['\U0001faf5', '😂', '\U0001fae3', '‼️']"
7465026946155594518,2025-01-28 17:57:56,httpsinnnitafdverbot go sign people gooo because htler was not linke and well not rewrite nor repeat history,1,0,7464652292050914582,7464652292050914582,negative,,['\U0001fa77']
7464585956335731461,2025-01-27 13:26:15,fragen sie die linke niemals warum sie in ostdeutschland so beliebt ist und welche partei ihre vorgängerin war ,0,0,7464551801086364950,7464551801086364950,neutral,1.0,['😂']
7463772427160666902,2025-01-25 08:49:52,161 ,1,0,7463742045824273697,7463742045824273697,positive,,"['\U0001fa77', '\U0001fa77', '\U0001fa77']"
7464483651310666518,2025-01-27 06:50:34,,0,0,7463742045824273697,7463742045824273697,negative,,"['❤️', '🖤']"
7463172863726879510,2025-01-23 18:02:57,,1,0,7463170865379708182,7463170865379708182,negative,1.0,"['❤️', '❤️', '❤️', '💜', '💜', '💜']"
7474612256988021526,2025-02-23 13:53:41,,0,0,7463170865379708182,7463170865379708182,negative,,"['❤️', '❤️', '❤️', '❤️', '❤️', '❤️']"
7473077251380167446,2025-02-19 10:37:28,httpsvmtiktokcomznd14ea73,0,0,7463170865379708182,7463170865379708182,negative,,[]
